
Flowertime/days

NO	110	110	110	112	112	112	112	112	114	114	116	116	116	116	116	116	118	118	118	118		
ZY	116	116	116	116	116	116	118	118	118	118	118	118	120	120	120	122	122	122	120	120		
GG	116	118	118	118	120	120	120	120	120	122	122	122	122	124	124	124	126	126	126	126		
SL	116	118	118	118	120	120	120	120	120	120	120	120	120	120	122	122	122	124	124			
TA	126	128	128	132	136	138	138	138	140	140	140	142	142	145								
QU	122	122	126	128	128	130	132	132	134	134	134	134	134	134	134	134	136	136	136	136	138	140

	ZS	WE	NO	ZY	GG	SL	TA	QU
mean	120.8	116.3	114.3	118.5	121.7	120.2105263	136.6428571	132.4545455
standard error	0.671212571	0.465097613	0.63701607	0.47848445	0.684797319	0.456140351	1.574547355	1.001572946
median	122	116	115	118	122	120	138	134
mode	122	116	116	116	120	120	138	134
standard deviation	3.001753873	2.079979757	2.848822471	2.139847511	3.062506713	1.988269694	5.89141674	4.697793532
variance	9.010526316	4.326315789	8.115789474	4.578947368	9.378947368	3.953216374	34.70879121	22.06926407
kurtosis	-1.058928856	0.265052546	-1.383688501	-1.092101684	-0.984268127	0.544305583	-0.654105069	0.595430997
skewness	-0.668352775	-0.640252036	-0.170275372	0.304386641	-0.014414713	0.149151861	-0.695586432	-0.979166391
region	8	8	8	6	10	8	19	18
max	116	112	110	116	116	116	126	122
min	124	120	118	122	126	124	145	140
sum	2416	2326	2286	2370	2434	2284	1913	2914
number	20	20	20	20	20	19	14	22
